"Region","Station","Date","Daily Rainfall Total (mm)","Highest 30 min Rainfall (mm)","Highest 60 min Rainfall (mm)","Highest 120 min Rainfall (mm)","Mean Temperature (°C)","Maximum Temperature (°C)","Minimum Temperature (°C)","Mean Wind Speed (km/h)","Max Wind Speed (km/h)","Latitude","Longitude"
"North","Admiralty",2020-01-01,0,0,0,0,27.5,31.1,25.4,22,56.5,1.4439,103.7854
"North","Admiralty",2020-01-02,0,0,0,0,27.7,30.7,25.9,24.5,60.5,1.4439,103.7854
"North","Admiralty",2020-01-03,0,0,0,0,27.9,32.7,24.8,20.2,51.1,1.4439,103.7854
"North","Admiralty",2020-01-04,0.4,0.4,0.4,0.4,29.2,35.7,26,13.7,34.6,1.4439,103.7854
"North","Admiralty",2020-01-05,8.6,2.6,4.4,8.6,26.3,30.4,24.7,9.7,41.5,1.4439,103.7854
"North","Admiralty",2020-01-06,10,4.8,NA,NA,26.4,30.4,24.2,11.1,38.9,1.4439,103.7854
"North","Admiralty",2020-01-07,5.6,5.6,5.6,5.6,28.7,32.3,24.6,8.2,34.3,1.4439,103.7854
"North","Admiralty",2020-01-08,1,0.4,0.6,0.8,28.4,32.3,24.5,8.8,34.3,1.4439,103.7854
"North","Admiralty",2020-01-09,1.4,1.4,1.4,1.4,28.9,32.7,26.8,10.3,37.4,1.4439,103.7854
"North","Admiralty",2020-01-10,8,5,5.2,5.4,26.5,29.6,23.9,9.9,32.4,1.4439,103.7854
"North","Admiralty",2020-01-11,0,0,0,0,27.3,32,24.6,11.3,35,1.4439,103.7854
"North","Admiralty",2020-01-12,0,0,0,0,28.6,32.6,25.1,12.1,26.7,1.4439,103.7854
"North","Admiralty",2020-01-13,0,0,0,0,27.2,31.7,24.3,19.1,43.6,1.4439,103.7854
"North","Admiralty",2020-01-14,0,0,0,0,27.2,31.8,24.6,20.9,45,1.4439,103.7854
"North","Admiralty",2020-01-15,1,1,1,1,27.2,30.5,25.2,19.8,49,1.4439,103.7854
"North","Admiralty",2020-01-16,0.2,0.2,0.2,0.2,27.5,31.6,25.9,17.3,38.9,1.4439,103.7854
